zip_code,zcta,zip_to_zcta_relationship,latitude,longitude
00501,11742,Spatial join to ZCTA,40.810074,-73.041409
00544,11742,Spatial join to ZCTA,40.810074,-73.041409
00601,00601,Zip Matches ZCTA,18.180555,-66.749961
00602,00602,Zip Matches ZCTA,18.361945,-67.175597
00603,00603,Zip Matches ZCTA,18.455183,-67.119887
00604,00603,Spatial join to ZCTA,18.455183,-67.119887
00605,00603,Spatial join to ZCTA,18.455183,-67.119887
00606,00606,Zip Matches ZCTA,18.158345,-66.932911
00610,00610,Zip Matches ZCTA,18.295366,-67.125135
00611,00641,Spatial join to ZCTA,18.263085,-66.712985
00612,00612,Zip Matches ZCTA,18.402253,-66.711397
00613,00612,Spatial join to ZCTA,18.402253,-66.711397
00614,00612,Spatial join to ZCTA,18.402253,-66.711397
00616,00616,Zip matches ZCTA,18.420412,-66.671979
00617,00617,Zip Matches ZCTA,18.445147,-66.559696
00622,00622,Zip matches ZCTA,17.991245,-67.153993
00623,00623,Zip Matches ZCTA,18.083361,-67.153897
00624,00624,Zip Matches ZCTA,18.064919,-66.716683
00627,00627,Zip Matches ZCTA,18.4126,-66.863926
00631,00631,Zip matches ZCTA,18.190607,-66.832041
00636,00680,Spatial join to ZCTA,18.178225,-67.151514
00637,00637,Zip Matches ZCTA,18.076713,-66.947389
00638,00638,Zip Matches ZCTA,18.295913,-66.515588
00641,00641,Zip Matches ZCTA,18.263085,-66.712985
00646,00646,Zip Matches ZCTA,18.43315,-66.285875
00647,00647,Zip Matches ZCTA,17.963613,-66.947127
00650,00650,Zip Matches ZCTA,18.349417,-66.578078
00652,00652,Zip Matches ZCTA,18.448452,-66.594127
00653,00653,Zip Matches ZCTA,17.985033,-66.886536
00656,00656,Zip Matches ZCTA,18.053539,-66.792931
00659,00659,Zip Matches ZCTA,18.407226,-66.808999
00660,00660,Zip Matches ZCTA,18.134695,-67.116199
00662,00662,Zip Matches ZCTA,18.46832,-67.015781
00664,00664,Zip Matches ZCTA,18.21033,-66.591616
00667,00667,Zip Matches ZCTA,18.003422,-67.03581
00669,00669,Zip Matches ZCTA,18.277102,-66.869645
00670,00670,Zip Matches ZCTA,18.240187,-66.988776
00674,00674,Zip Matches ZCTA,18.422908,-66.489337
00676,00676,Zip Matches ZCTA,18.377637,-67.079574
00677,00677,Zip Matches ZCTA,18.332568,-67.227022
00678,00678,Zip Matches ZCTA,18.434099,-66.927384
00680,00680,Zip Matches ZCTA,18.178225,-67.151514
00681,00680,Spatial join to ZCTA,18.178225,-67.151514
